20221207	11:41:45	3e2cf749-36cc-48f6-b28f-bb435b102221	POST	undefined	/auth
20221207	11:41:48	74f866b1-ad22-4c0d-b6f7-810789dde827	GET	undefined	/employees
20221207	11:41:49	e39ad746-0770-46cb-b6d2-e387d25a1c99	GET	undefined	/employees
20221207	11:41:49	26fa33a3-100d-485e-87b2-13a1c0931f9d	GET	undefined	/employees
20221207	11:41:49	6c37599c-acae-41ad-8b1d-d37088cb74d2	GET	undefined	/employees
20221207	11:42:03	65f0b10a-7fad-4ccb-9e5e-e75a5c17b9ad	GET	undefined	/employees
20221207	12:01:43	7356620b-ebd1-4090-a10a-e9e23ddf9572	POST	undefined	/auth
20221207	12:01:54	3fc3792a-7d04-47c7-bfef-a1fd43bc8660	GET	undefined	/employees
20221207	12:02:18	5a94fe30-5565-4b49-b952-b5f04d17ded8	GET	undefined	/employees
20221207	12:02:19	c544fe2f-3e61-4a95-9fc9-056d64c686d3	GET	undefined	/employees
20221207	12:03:24	c609d096-5c2f-4093-a0a3-c29e0db7bc9f	POST	undefined	/auth
20221207	12:03:33	4d97bbad-d358-4427-ab1a-7e99d051f878	POST	undefined	/employees
20221207	12:03:41	7267eb8c-06a2-4e20-b025-acfeeec96f87	POST	undefined	/employees
20221207	12:03:51	28ccea60-9a3c-4906-ac59-9f7c5e3780d2	POST	undefined	/employees
20221207	12:03:53	dac31f89-f7ce-468c-b823-a3e433d96263	POST	undefined	/employees
20221207	12:03:55	24d3b595-3a95-4e9c-9a19-f3c1101b1e87	POST	undefined	/employees
20221207	12:03:55	637740e1-e5a5-4461-bf46-e7027ba41117	POST	undefined	/employees
20221207	12:03:55	0bb8e8b7-3fef-4eca-8257-e10ff52549a1	POST	undefined	/employees
20221207	12:27:06	337ce32c-9954-42ab-aa74-fdfd40e5be4d	POST	undefined	/auth
20221207	12:28:11	fe734b8e-64fd-4667-a9b4-d3e6c32e8e86	GET	undefined	/auth
20221207	12:28:15	cb8794bd-f31b-4b84-a473-e38cfe73196b	POST	undefined	/auth
20221207	12:28:28	89e7a446-7027-4e8a-bd8e-69106acadf5c	GET	undefined	/auth
20221207	12:28:50	5a7606ea-6fb5-4c2f-9367-de2636b17332	GET	undefined	/refresh
20221207	12:37:29	c096bca3-5bd9-435d-8657-b18e4e55e40a	GET	undefined	/refresh
20221207	12:58:59	5f784f9a-57d2-46aa-9e31-29c4025d3d63	GET	undefined	/refresh
20221207	13:00:10	54199134-50f1-46f8-a528-7aecba27f4fa	GET	undefined	/logout
20221207	13:00:24	257681af-d716-4140-a71d-8cb7a6c0637c	GET	undefined	/refresh
20221207	13:01:36	79375324-dc5c-45ee-a649-07c7aa15eaf3	GET	undefined	/refresh
